ID,x,y,z,yaw,pitch,roll
1,-284.89,226.133,-12.6441,2.44809,0.0124206,0.0500534
2,-285.115,226.334,-12.6052,2.4481,0.0125875,0.0401522
3,-285.335,226.536,-12.5895,2.44794,0.01254,0.0356772
4,-285.545,226.726,-12.6005,2.44864,0.0119893,0.0333605
5,-285.775,226.929,-12.6026,2.44994,0.0112673,0.0313647
6,-285.986,227.118,-12.6049,2.45028,0.0111134,0.030919
7,-286.211,227.31,-12.6053,2.44971,0.0106663,0.0321367
8,-286.414,227.487,-12.6038,2.44987,0.00937618,0.0324787
9,-286.625,227.672,-12.6088,2.45091,0.00786435,0.0331879
10,-286.83,227.854,-12.6003,2.4509,0.00691476,0.0322967
11,-287.026,228.029,-12.5819,2.45087,0.00290897,0.0315617
12,-287.229,228.206,-12.5745,2.45087,-0.00188297,0.0339487
13,-287.413,228.37,-12.5905,2.45027,-0.00346667,0.035531
14,-287.607,228.523,-12.6016,2.45011,-0.00290727,0.0376592
15,-287.791,228.683,-12.6122,2.45048,-0.00137848,0.0376575
16,-287.965,228.836,-12.6201,2.45057,-0.000152904,0.0386052
17,-288.146,228.983,-12.6319,2.4509,-1.50328E-05,0.0395564
18,-288.32,229.137,-12.6465,2.45144,0.00231649,0.0394764
19,-288.487,229.277,-12.6605,2.45225,0.00511214,0.0395622
20,-288.654,229.425,-12.6648,2.45253,0.00671536,0.0374768
21,-288.808,229.56,-12.6558,2.45293,0.00644676,0.0351846
22,-288.977,229.705,-12.6615,2.45366,0.00601104,0.0347574
23,-289.139,229.847,-12.6732,2.45362,0.00679676,0.0367957
24,-289.278,229.973,-12.6887,2.45342,0.00998036,0.0378094
25,-289.427,230.093,-12.6877,2.45394,0.0125382,0.0401701
26,-289.585,230.228,-12.6937,2.45515,0.0144187,0.042713
27,-289.719,230.349,-12.6904,2.45519,0.0147065,0.0444357
28,-289.87,230.469,-12.6887,2.45438,0.0138711,0.044498
29,-290.009,230.594,-12.6795,2.45526,0.011949,0.0437281
30,-290.144,230.718,-12.6849,2.45658,0.00976066,0.0431032
31,-290.279,230.828,-12.6815,2.45695,0.00859072,0.0427587
32,-290.413,230.951,-12.6741,2.45738,0.00551522,0.0404343
33,-290.537,231.071,-12.671,2.45625,0.0018293,0.0406271
34,-290.674,231.178,-12.6694,2.45581,-0.000478689,0.040703
35,-290.795,231.28,-12.6406,2.45615,-0.0061708,0.0402159
36,-290.926,231.403,-12.6348,2.45514,-0.0141549,0.0405596
37,-291.052,231.507,-12.6701,2.45515,-0.015017,0.0402934
38,-291.178,231.612,-12.7168,2.4554,-0.00880914,0.0404465
39,-291.302,231.709,-12.7496,2.45618,-0.000530053,0.0415207
40,-291.423,231.82,-12.7377,2.45664,0.00446921,0.0421758
41,-291.542,231.925,-12.7208,2.4563,0.00255674,0.0437691
42,-291.665,232.04,-12.7233,2.45534,-0.00062834,0.0472206
43,-291.795,232.143,-12.733,2.45407,-0.000741956,0.0521029
44,-291.923,232.251,-12.7398,2.45362,0.00114252,0.05555
45,-292.039,232.357,-12.7397,2.4543,0.00389995,0.0551759
46,-292.161,232.46,-12.7364,2.45517,0.00651155,0.0509892
47,-292.274,232.568,-12.7358,2.45556,0.00746408,0.0467668
48,-292.38,232.665,-12.7376,2.45628,0.00581307,0.0466388
