ID,x,y,z,yaw,pitch,roll
1,-284.905,226.113,-12.6207,2.44702,0.0137913,0.0491332
2,-285.108,226.311,-12.6029,2.44816,0.0134437,0.0410092
3,-285.341,226.503,-12.6127,2.44853,0.0128448,0.0390221
4,-285.561,226.717,-12.616,2.44879,0.0121281,0.0349506
5,-285.767,226.913,-12.6238,2.44977,0.0111202,0.0322218
6,-285.984,227.109,-12.618,2.45052,0.0110696,0.0315068
7,-286.183,227.286,-12.6169,2.44971,0.0105189,0.0318999
8,-286.409,227.481,-12.6103,2.45018,0.00959797,0.0327575
9,-286.609,227.656,-12.6124,2.45079,0.00796928,0.0339945
10,-286.82,227.826,-12.609,2.45103,0.00736229,0.0337284
11,-287.017,228.007,-12.5883,2.45141,0.00334354,0.0331534
12,-287.221,228.172,-12.5809,2.45107,-0.00102536,0.0352222
13,-287.415,228.329,-12.6043,2.45094,-0.00326703,0.0377963
14,-287.607,228.491,-12.622,2.45016,-0.00286978,0.0389244
15,-287.797,228.664,-12.6339,2.45061,-0.00155834,0.0397851
16,-287.969,228.809,-12.6382,2.45098,-0.000246324,0.0398975
17,-288.152,228.971,-12.6449,2.45136,-6.63769E-05,0.0399706
18,-288.319,229.099,-12.6615,2.45166,0.00206328,0.0406531
19,-288.48,229.243,-12.67,2.45251,0.00481545,0.0405348
20,-288.667,229.398,-12.6732,2.45302,0.00661898,0.0381584
21,-288.811,229.53,-12.6559,2.4533,0.00660482,0.0358737
22,-288.982,229.678,-12.671,2.45421,0.00613456,0.0354671
23,-289.147,229.813,-12.6893,2.45399,0.00633018,0.0379851
24,-289.29,229.928,-12.7029,2.45392,0.0092857,0.038978
25,-289.45,230.061,-12.7145,2.45459,0.0123659,0.0419175
26,-289.597,230.191,-12.7046,2.45569,0.0136678,0.0437977
27,-289.734,230.311,-12.6865,2.4563,0.0145994,0.0448983
28,-289.885,230.431,-12.6787,2.45537,0.0142488,0.0446295
29,-290.025,230.551,-12.6706,2.45629,0.0124735,0.0445806
30,-290.146,230.663,-12.6779,2.45709,0.0104168,0.0447005
31,-290.28,230.771,-12.6707,2.45736,0.00927423,0.0437229
32,-290.422,230.913,-12.6511,2.45771,0.00668656,0.0413332
33,-290.539,231.028,-12.6625,2.45684,0.00298188,0.0420923
34,-290.685,231.142,-12.6604,2.45629,3.38355E-05,0.0420868
35,-290.817,231.27,-12.6126,2.45664,-0.0056615,0.0404292
36,-290.932,231.386,-12.6095,2.45564,-0.0129478,0.0401492
37,-291.079,231.498,-12.6718,2.45584,-0.0147754,0.0407432
38,-291.202,231.599,-12.7229,2.45621,-0.0100913,0.0413589
39,-291.323,231.68,-12.7656,2.45715,-0.00193187,0.0425826
40,-291.444,231.788,-12.7404,2.45769,0.00388369,0.0431638
41,-291.556,231.887,-12.7092,2.45735,0.00255559,0.0444782
42,-291.676,232,-12.7078,2.45652,5.18952E-05,0.0468784
43,-291.838,232.12,-12.7348,2.45524,-0.00109613,0.0523628
44,-291.962,232.228,-12.7487,2.45448,0.00114363,0.0568422
45,-292.061,232.313,-12.7418,2.45499,0.0032966,0.0559709
46,-292.184,232.424,-12.7441,2.45592,0.00628925,0.0519272
47,-292.279,232.52,-12.7354,2.45665,0.00728088,0.0471471
48,-292.414,232.63,-12.7316,2.45728,0.00581013,0.0464118
49,-292.526,232.742,-12.7388,2.45609,0.00413731,0.0478139
50,-292.628,232.829,-12.7508,2.45505,0.00437572,0.0488327
51,-292.754,232.926,-12.7572,2.45564,0.00573057,0.0505206
52,-292.874,233.037,-12.7536,2.45519,0.00597741,0.051157
53,-292.992,233.14,-12.7597,2.45447,0.0067849,0.0495901
54,-293.107,233.236,-12.782,2.45558,0.00947791,0.0491809
55,-293.239,233.354,-12.7613,2.45681,0.010916,0.0491797
56,-293.345,233.457,-12.7248,2.45635,0.00919606,0.0463598
57,-293.518,233.608,-12.7185,2.45517,0.000765898,0.0437228
58,-293.65,233.718,-12.7553,2.45536,-0.00218974,0.0427715
59,-293.767,233.814,-12.769,2.45684,-0.00164705,0.044511
60,-293.892,233.919,-12.7619,2.45803,-0.00219551,0.0472172
61,-294.027,234.038,-12.7508,2.45781,-0.00429246,0.0488231
62,-294.152,234.171,-12.7711,2.45624,-0.00601634,0.0500089
63,-294.277,234.276,-12.7792,2.4558,-0.00589755,0.0506862
64,-294.425,234.394,-12.7702,2.45624,-0.00527567,0.0520312
65,-294.543,234.52,-12.7843,2.45522,-0.00512443,0.0524216
66,-294.678,234.629,-12.7788,2.45472,-0.00372648,0.0505506
67,-294.818,234.756,-12.7854,2.4556,-0.00374581,0.0483178
68,-294.941,234.864,-12.7894,2.45612,-0.00393724,0.048204
69,-295.074,234.983,-12.7932,2.45552,-0.00398597,0.0480191
70,-295.195,235.086,-12.7983,2.45539,-0.00413809,0.0487037
71,-295.336,235.208,-12.8051,2.45547,-0.00429315,0.0495545
72,-295.476,235.337,-12.7977,2.45478,-0.00472567,0.0496498
73,-295.603,235.445,-12.7985,2.45391,-0.00492846,0.0495813
74,-295.733,235.547,-12.7952,2.4539,-0.00499717,0.0497462
75,-295.866,235.66,-12.7947,2.45476,-0.00517348,0.0497133
76,-296,235.773,-12.803,2.45445,-0.00511262,0.0497124
77,-296.151,235.891,-12.7956,2.45398,-0.00450578,0.0484259
78,-296.276,236.002,-12.7805,2.45356,-0.00471188,0.0462727
79,-296.421,236.136,-12.8004,2.45476,-0.00517829,0.0452062
80,-296.572,236.265,-12.8119,2.45482,-0.00384481,0.0451819
81,-296.717,236.394,-12.8121,2.45454,-0.00185088,0.0452429
82,-296.855,236.503,-12.8069,2.45508,-0.000990786,0.046378
83,-296.979,236.62,-12.7981,2.45495,-0.00111,0.0469997
84,-297.134,236.745,-12.7944,2.45456,-0.00132456,0.0470486
85,-297.266,236.856,-12.7997,2.45447,-0.00102923,0.0466757
86,-297.417,236.997,-12.8076,2.45406,0.000128885,0.0463222
87,-297.552,237.116,-12.8056,2.45374,0.000664664,0.0459693
88,-297.69,237.241,-12.797,2.4542,-0.000752049,0.0454821
89,-297.826,237.359,-12.7966,2.45518,-0.00103232,0.0455232
90,-297.981,237.496,-12.794,2.45529,-0.0011568,0.0454368
91,-298.137,237.635,-12.7968,2.45513,-0.00168765,0.0443812
92,-298.267,237.748,-12.7992,2.45583,-0.00206573,0.0439337
93,-298.417,237.886,-12.8085,2.45645,-0.00247054,0.0435231
94,-298.565,238.008,-12.8084,2.45642,-0.00270119,0.0426025
95,-298.707,238.137,-12.8129,2.45589,-0.00370103,0.0415925
96,-298.863,238.269,-12.7951,2.45635,-0.00501365,0.0401389
97,-299.014,238.396,-12.7958,2.45697,-0.00681573,0.0390105
98,-299.164,238.531,-12.7995,2.45766,-0.00847558,0.0380839
99,-299.303,238.657,-12.8105,2.45874,-0.00891513,0.0371726
100,-299.448,238.776,-12.8257,2.45868,-0.00743556,0.036164
101,-299.595,238.904,-12.8308,2.4592,-0.0062373,0.0356353
102,-299.743,239.039,-12.83,2.45954,-0.00564617,0.0371986
103,-299.902,239.164,-12.834,2.45985,-0.00491837,0.0394998
104,-300.052,239.277,-12.8179,2.4604,-0.00477427,0.0383461
105,-300.203,239.411,-12.824,2.46096,-0.00558374,0.0362841
106,-300.361,239.554,-12.8307,2.46161,-0.00474337,0.0344039
107,-300.516,239.69,-12.8316,2.46218,-0.00385168,0.0329815
108,-300.66,239.804,-12.8395,2.46292,-0.00344583,0.0323346
109,-300.82,239.936,-12.8382,2.46401,-0.00310725,0.0309831
110,-300.979,240.067,-12.8456,2.4643,-0.00343847,0.0305924
111,-301.127,240.205,-12.8384,2.46449,-0.00398444,0.0298118
112,-301.277,240.335,-12.8452,2.46432,-0.00384038,0.029256
113,-301.438,240.474,-12.8494,2.46446,-0.00277764,0.0271077
114,-301.604,240.592,-12.8413,2.4667,-0.00217631,0.0239372
115,-301.763,240.728,-12.8425,2.46937,-0.00480711,0.0229126
116,-301.906,240.851,-12.8328,2.47123,-0.00595456,0.0204991
117,-302.097,240.974,-12.8441,2.47399,-0.00602391,0.0183057
118,-302.243,241.103,-12.8417,2.47568,-0.00592768,0.0192296
