ID,x,y,z,yaw,pitch,roll
1,1772.5,866.38,0,0.0271842,-0.0283667,-0.0137749
2,1771.98,866.52,0,0.0271842,-0.0283667,-0.0137749
3,1772.04,866.485,0,0.0271842,-0.0283667,-0.0137749
4,1773.77,866.53,0,0.0249863,-0.0267764,-0.0103691
5,1773.86,866.52,0,0.0249862,-0.0267766,-0.0103691
6,1773.99,866.45,0,0.0249858,-0.0267765,-0.0103691
7,1773.84,866.417,0,0.0249854,-0.0267758,-0.010369
8,1773.88,866.419,0,0.0249855,-0.0267746,-0.0103687
9,1774.09,866.063,0,0.0249827,-0.0267744,-0.0103706
10,1774.47,866.52,0,0.0249931,-0.0267848,-0.0103663
11,1775.4,866.599,0,0.0225545,-0.0317799,-0.00294944
12,1775.55,866.558,0,0.0225504,-0.0317812,-0.00294805
13,1775.81,866.332,0,0.022528,-0.0317833,-0.00294719
14,1776.06,866.393,0,0.0225344,-0.0317747,-0.00294375
15,1777.04,866.626,0,0.0184486,-0.0468614,-0.00827628
16,1777.32,866.602,0,0.0207745,-0.049827,-0.00965153
17,1777.43,866.622,0,0.0207754,-0.0498664,-0.00965097
18,1777.62,866.576,0,0.02076,-0.0499605,-0.00965408
19,1778.26,866.595,0,0.0230614,-0.0459341,-0.010118
20,1778.33,866.678,0,0.0230847,-0.0459477,-0.0101205
21,1778.31,866.671,0,0.0230849,-0.0459929,-0.0101224
22,1778.86,866.651,0,0.0230662,-0.0459139,-0.0101255
23,1778.7,866.58,0,0.0234657,-0.0377896,-0.0124176
24,1778.96,866.657,0,0.0234967,-0.0377126,-0.0124304
25,1780.8,866.553,0,0.0240535,-0.0350906,-0.0101202
26,1780.95,866.531,0,0.0240428,-0.03513,-0.0101253
27,1781.14,866.515,0,0.0240351,-0.0352727,-0.0101346
28,1781.51,866.639,0,0.0250122,-0.037491,-0.00523075
29,1781.59,866.727,0,0.0250938,-0.0375236,-0.00521675
30,1781.88,866.699,0,0.025062,-0.0375406,-0.0052122
31,1782.34,866.802,0,0.02519,-0.0376539,-0.00519515
32,1784.36,866.783,0,0.0244543,-0.0379287,-0.00305512
33,1784.54,866.666,0,0.024262,-0.0380982,-0.00304979
34,1784.83,866.608,0,0.0241318,-0.0375506,-0.00303634
35,1785.74,866.72,0,0.0244911,-0.0302016,-0.00833337
36,1785.96,866.838,0,0.0247364,-0.0299898,-0.00834369
37,1784.66,866.575,0,0.0252769,-0.0226486,-0.0107156
38,1784.81,866.587,0,0.0253046,-0.0228997,-0.010722
39,1785.27,866.491,0,0.0251077,-0.0237545,-0.0108293
40,1789.21,866.501,0,0.0242968,-0.0281118,-0.0132796
41,1789.25,866.443,0,0.0241257,-0.0280312,-0.0133064
42,1789.36,866.453,0,0.0241805,-0.0281819,-0.0133282
43,1789.19,866.338,0,0.0235998,-0.0293757,-0.0134171
44,1789.01,866.367,0,0.0237472,-0.030173,-0.0134714
45,1790.2,866.538,0,0.0262741,-0.0377483,-0.0247971
46,1790.27,866.636,0,0.0267409,-0.0378721,-0.0248438
47,1790.28,866.727,0,0.0285115,-0.0384465,-0.0202707
48,1790.36,866.691,0,0.0283725,-0.0388368,-0.0203022
49,1790.77,866.779,0,0.0288262,-0.038204,-0.0203444
50,1791.76,866.826,0,0.0292489,-0.0358341,-0.0168339
51,1791.9,866.857,0,0.0294124,-0.0355694,-0.016852
52,1793.12,866.864,0,0.0290959,-0.0337569,-0.0144388
53,1793.17,866.877,0,0.0291836,-0.0340478,-0.0144495
54,1793.85,866.886,0,0.0297659,-0.030571,-0.0117654
55,1793.89,866.892,0,0.0298238,-0.0311344,-0.0117648
56,1794.49,866.752,0,0.0308311,-0.0291212,-0.00825384
57,1794.62,866.742,0,0.0307802,-0.0301635,-0.0082736
58,1796.39,866.846,0,0.0321572,-0.0413301,-0.00808066
59,1796.54,866.829,0,0.0320466,-0.0423355,-0.00810036
60,1796.57,866.672,0,0.0305821,-0.0445219,-0.00822941
61,1796.74,866.675,0,0.030626,-0.0438116,-0.00820441
62,1796.89,866.339,0,0.0259846,-0.0450477,-0.00839685
63,1797.31,866.431,0,0.0275339,-0.0494974,-0.0084862
64,1797.74,866.531,0,0.0348028,-0.0278299,-0.0234468
65,1797.93,866.66,0,0.0364942,-0.0298622,-0.0232916
66,1796.73,866.79,0,0.038445,-0.0427687,-0.0250647
67,1796.91,866.809,0,0.0387002,-0.0451344,-0.0251493
68,1797.41,866.815,0,0.0387551,-0.0487241,-0.0252984
69,1798.55,866.766,0,0.0387005,-0.0470171,-0.0255679
70,1801.06,866.922,0,0.0409335,-0.0607041,-0.0207798
71,1801.25,866.829,0,0.0424536,-0.0724572,-0.0217808
72,1801.01,866.933,0,0.050093,-0.101279,-0.0239341
73,1801.39,866.968,0,0.0525912,-0.103293,-0.0240361
74,1804.32,866.78,0,0.0277996,-0.0221665,-0.0244653
75,1804.47,866.714,0,0.0219502,-0.0083354,-0.0240609
76,1804.85,866.714,0,0.0236032,-0.0208468,-0.0245811
77,1804.96,866.712,0,0.0298518,-0.0229826,-0.0248376
78,1804.24,867,0,0.0592571,-0.0341286,-0.0235398
79,1804.75,867.033,0,0.0614197,-0.0292767,-0.0234466
80,1805.06,866.982,0,0.0538028,-0.0497302,-0.0240344
81,1804.33,867.051,0,0.059045,-0.0224621,-0.0186105
82,1804.78,867.13,0,0.0686044,-0.019714,-0.0185371
83,1806.05,867.098,0,0.0557956,0.15256,-0.00801315
84,1806.44,867.009,0,0.0504679,0.137402,-0.00834723
85,1806.92,866.818,0,0.0289689,0.0539667,-0.0116929
86,1807.45,867.203,0,0.0840772,0.0039395,-0.0115694
87,1807.84,867.376,0,0.106094,-0.0478641,-0.0126356
88,1808.02,867.215,0,0.0633483,-0.0959526,-0.010307
89,1808.47,867.207,0,0.061116,-0.0864063,-0.010113
90,1808.42,866.911,0,0.0294487,-0.0850734,-0.027412
91,1808.86,867.065,0,0.0468768,-0.0809533,-0.027459
92,1809.51,867.079,0,0.0492911,-0.069408,-0.0274372
93,1810.19,866.949,0,0.0322718,-0.0799952,-0.0280395
94,1810.9,867.222,0,0.0655729,0.0868622,-0.0217648
95,1811.33,867.391,0,0.0861371,0.0772332,-0.0214193
96,1811.82,867.134,0,0.0485928,0.0606659,-0.0190407
97,1812.07,867.178,0,0.0528534,0.0347639,-0.0196535
98,1811.54,867.354,0,0.0699488,-0.0435567,-0.0127309
99,1811.97,867.257,0,0.059405,-0.0472966,-0.0131645
100,1812.45,867.187,0,0.0511124,-0.0703113,-0.0140415
101,1812.95,867.147,0,0.0468546,-0.101689,-0.0152628
102,1812.81,867.41,0,0.073083,-0.123868,-0.0166569
103,1813.37,867.389,0,0.0695733,-0.124956,-0.0168063
104,1815.27,867.098,0,0.0359638,0.0898921,-0.00843515
105,1815.5,867.247,0,0.052305,0.0625002,-0.00898253
106,1816.72,867.511,0,0.0714015,-0.0598644,-0.0139478
107,1816.93,867.453,0,0.0648055,-0.0620144,-0.0141445
108,1817.24,867.396,0,0.0571924,-0.0329573,-0.0135753
109,1817.46,867.472,0,0.0629818,0.0724243,-0.00997823
110,1817.87,867.335,0,0.0479464,0.0640515,-0.0107474
111,1818.16,867.344,0,0.0498348,0.0424482,-0.0113862
112,1818.67,867.359,0,0.0500024,-0.00794586,-0.0128455
113,1819.13,867.207,0,0.0276433,-0.0440642,-0.0148917
114,1818.62,867.65,0,0.079717,-0.0995439,-0.00675697
115,1819,867.649,0,0.0770795,-0.127877,-0.00757353
116,1819.67,867.622,0,0.0704791,-0.143284,-0.00816507
117,1821.37,867.609,0,0.0542488,0.178939,0.00434542
118,1821.81,867.567,0,0.0498815,0.150246,0.00321107
119,1822.69,866.729,0,-0.025206,-0.0740906,-0.0175022
120,1822.79,867.184,0,0.0297317,-0.0949716,-0.0200742
121,1823.1,867.219,0,0.0333173,-0.0999212,-0.0201789
122,1823.45,867.172,0,0.030219,-0.124807,-0.0209051
123,1823.33,867.594,0,0.0676014,-0.0845688,-0.0181504
124,1823.75,867.7,0,0.078831,-0.0744191,-0.0178768
125,1823.46,867.735,0,0.0680397,0.0488095,-0.0115007
126,1823.95,867.81,0,0.0739878,0.0284773,-0.0121038
127,1824.45,867.729,0,0.0608498,-0.0144833,-0.0139279
128,1825.07,867.735,0,0.0586646,-0.0611913,-0.0151949
129,1825.26,867.715,0,0.0424183,-0.0791816,-0.013511
130,1825.56,867.636,0,0.0321026,-0.0779328,-0.0135249
131,1826.08,867.768,0,0.0488724,-0.101193,-0.0139023
