ID,x,y,z,yaw,pitch,roll
1,-284.914,226.119,-12.672,2.44799,0.0123654,0.0545232
2,-284.914,226.119,-12.672,2.44799,0.0123654,0.0545232
3,-284.858,226.15,-12.8213,2.44799,0.0123654,0.0545232
4,-285.036,226.143,-12.6067,2.44798,0.0123449,0.0543107
5,-285.25,226.342,-13.0331,2.44807,0.0157286,0.0538772
6,-285.702,226.791,-13.4017,2.44771,0.0248851,0.0535795
7,-285.776,227.382,-13.399,2.42797,0.0244008,0.0531069
8,-285.311,227.436,-13.1621,2.39792,0.00559836,0.0524063
9,-285.84,227.524,-12.6528,2.43368,-0.0509681,0.0500689
10,-285.69,227.285,-12.5887,2.44463,-0.0609582,0.0495273
11,-285.872,227.78,-12.5861,2.40237,-0.0568561,0.0501042
12,-286.558,227.824,-12.7863,2.48753,-0.0150667,0.049874
13,-286.895,228.161,-12.9883,2.47887,0.0250663,0.0528007
14,-286.823,228.619,-13.0606,2.38986,0.0355804,0.0570557
15,-287.789,228.396,-12.6116,2.57761,-0.0656224,0.0519941
16,-288.593,228.496,-12.7759,2.67224,-0.0258482,0.0523946
17,-288.985,228.487,-12.2361,2.72097,-0.145604,0.0509684
18,-289.148,228.765,-12.1788,2.67773,-0.151457,0.0503262
19,-288.511,229.055,-11.9626,2.53888,-0.205653,0.0475259
20,-288.692,229.1,-12.2909,2.55694,-0.121852,0.0490757
21,-288.196,229.156,-12.2176,2.48327,-0.14581,0.0442415
22,-288.103,228.864,-12.4249,2.53183,-0.100939,0.0447964
23,-288.579,229.597,-12.8125,2.45493,0.00425117,0.0437099
24,-289.131,229.535,-12.9208,2.55139,0.0294138,0.0480986
25,-289.476,229.807,-12.494,2.54538,-0.0691518,0.0472166
26,-288.924,230.216,-12.5852,2.3862,-0.0460301,0.043479
27,-289.277,230.584,-12.2481,2.37601,-0.116482,0.0441381
28,-289.343,230.654,-12.0863,2.37814,-0.14518,0.0454336
29,-290.066,230.492,-12.2232,2.52427,-0.102324,0.0466738
30,-289.782,231.195,-12.679,2.34983,0.00645121,0.0512382
31,-289.944,230.871,-12.7222,2.43921,0.00850065,0.0484157
32,-290.061,230.947,-12.9107,2.44362,0.0509832,0.0484527
33,-289.977,231.432,-12.5172,2.34496,-0.0380659,0.048202
34,-289.999,231.887,-11.8959,2.27345,-0.178586,0.0475082
35,-290.596,232.122,-12.0028,2.34157,-0.140204,0.0445734
36,-290.564,231.667,-11.9366,2.40924,-0.162887,0.0380689
37,-290.429,231.799,-11.9531,2.36063,-0.163306,0.0431617
38,-290.637,231.875,-12.9502,2.38476,0.0573555,0.0504033
39,-290.887,231.594,-12.9596,2.4748,0.0462429,0.0447723
40,-291.393,231.987,-12.7978,2.48763,0.0031337,0.0442012
41,-291.21,232.261,-12.9637,2.40658,0.0523155,0.0311119
42,-291.23,232.236,-12.8006,2.41641,0.0207174,0.0336865
43,-291.512,232.198,-12.6752,2.47114,-0.0132255,0.0433142
44,-291.501,232.295,-12.8269,2.44667,0.0196419,0.0481397
45,-291.871,232.924,-12.6969,2.38966,-0.0183487,0.0458147
46,-292.252,232.976,-13.1269,2.44803,0.0849547,0.0520787
47,-292.274,233.273,-12.7808,2.39575,1.25042E-05,0.0436559
48,-292.326,233.101,-13.0517,2.44018,0.0721254,0.0432594
49,-292.166,233.49,-12.9186,2.33719,0.0370841,0.0401523
50,-292.72,233.265,-13.0009,2.48154,0.0530133,0.0401012
51,-292.462,233.485,-13.0257,2.3903,0.056109,0.0436298
52,-292.638,233.487,-13.1851,2.42248,0.0945738,0.0457273
53,-292.955,233.616,-12.1648,2.4533,-0.158797,0.0391537
54,-292.82,233.235,-11.8784,2.50073,-0.223132,0.0363395
55,-292.584,234.192,-12.6685,2.26758,-0.0162832,0.0397297
56,-293.04,233.905,-12.6819,2.41296,-0.00704383,0.0432406
57,-293.574,233.97,-12.4465,2.5026,-0.0590743,0.0416747
58,-293.964,234.43,-12.6338,2.47745,-0.00532708,0.0434247
59,-293.779,234.403,-12.8758,2.44623,0.0433979,0.0472662
60,-293.488,234.303,-12.5628,2.41345,-0.047341,0.0467283
61,-293.89,234.253,-12.6636,2.50234,-0.0176258,0.0483682
62,-293.899,234.053,-12.7234,2.54395,-0.00241136,0.0496851
63,-294.094,233.965,-13.2189,2.59522,0.127032,0.0541342
64,-294.306,234.115,-13.3419,2.59421,0.152432,0.0551063
65,-294.396,234.781,-13.2171,2.45223,0.104849,0.0524671
66,-294.254,234.876,-12.9886,2.40915,0.0428907,0.0504034
67,-294.74,234.842,-13.0526,2.50773,0.0531686,0.0523924
68,-294.838,235.663,-12.8515,2.34644,-0.0123572,0.0423145
69,-294.922,235.806,-12.7991,2.33667,-0.0270951,0.0409744
70,-294.828,235.79,-13.5,2.32365,0.163539,0.0515185
71,-294.433,235.519,-13.5406,2.30002,0.179597,0.0520925
72,-294.974,235.444,-13.3314,2.42961,0.10939,0.0530612
73,-294.681,235.761,-13.8077,2.30523,0.237648,0.0554047
74,-294.707,236.001,-13.5272,2.26592,0.149354,0.049486
75,-295.074,236.756,-13.3217,2.20791,0.06028,0.0431631
76,-295.736,236.551,-13.0376,2.39194,-0.0236671,0.0386926
77,-295.802,236.933,-12.5206,2.33124,-0.163574,0.0310905
78,-295.408,236.628,-12.6805,2.30359,-0.111223,0.0328719
79,-295.554,236.39,-13.5354,2.37916,0.119513,0.0367808
80,-296.158,235.857,-13.3622,2.6065,0.0656859,0.0245763
81,-296.294,236.084,-13.0138,2.5765,-0.0332434,0.0221424
82,-296.339,236.809,-13.0625,2.42099,-0.020241,0.0227522
83,-296.506,236.142,-12.7121,2.59645,-0.109103,0.0241787
84,-296.868,236.914,-12.4481,2.48345,-0.17099,0.0210506
85,-297.458,236.395,-13.4528,2.70358,0.104945,0.0253602
86,-297.875,236.691,-13.5367,2.69505,0.123817,0.0255421
87,-297.315,237.135,-13.2996,2.49866,0.0590103,0.025731
88,-297.26,237.268,-13.2945,2.46341,0.0582883,0.0250647
89,-298.075,236.958,-12.6151,2.67374,-0.130246,0.0151421
90,-298.183,237.056,-12.4379,2.6645,-0.172047,0.0135353
91,-298.572,237.129,-12.9552,2.7011,-0.0231496,0.0197853
92,-298.504,237.867,-12.7755,2.51147,-0.0710659,0.0225626
93,-298.968,238.195,-13.4156,2.51066,0.1075,0.0297112
94,-298.595,238.749,-13.5856,2.32473,0.145079,0.0305669
95,-298.882,238.218,-12.9745,2.49852,-0.0180573,0.0273197
96,-298.876,238.158,-13.0569,2.50976,0.00654504,0.0268695
97,-298.296,238.658,-13.7665,2.29845,0.196328,0.025424
98,-298.641,238.985,-13.2752,2.30567,0.0486211,0.021886
99,-299.181,239.235,-13.1593,2.36668,0.00780455,0.0184932
100,-298.887,239.591,-12.9458,2.23985,-0.0507221,0.0209563
101,-298.93,239.544,-13.1416,2.26102,0.00295033,0.0208804
102,-298.935,239.587,-13.6015,2.25864,0.125014,0.0218018
103,-299.213,239.69,-12.8675,2.30242,-0.0781994,0.0227729
104,-299.699,239.66,-12.8478,2.41084,-0.0784795,0.0309844
105,-299.636,239.372,-12.3952,2.4474,-0.191683,0.0305419
106,-299.494,239.426,-12.5897,2.40646,-0.13795,0.0285599
107,-300.26,240.114,-12.6581,2.42026,-0.0937843,0.0266899
108,-300.376,239.977,-12.2717,2.47001,-0.194487,0.0250785
109,-300.258,240.059,-12.2946,2.42842,-0.186857,0.0236802
110,-300.747,240.35,-13.0009,2.46038,0.0180685,0.0228149
111,-301.406,240.322,-12.6094,2.58679,-0.080928,0.027714
112,-301.468,240.434,-13.0394,2.56775,0.0336602,0.0243129
113,-301.342,240.858,-12.7656,2.45013,-0.0399608,0.0195479
114,-301.681,240.396,-12.6516,2.61164,-0.0696818,0.0225488
115,-301.571,240.368,-12.0314,2.59823,-0.231207,0.0236814
116,-301.44,240.624,-12.1832,2.51745,-0.184574,0.0210047
117,-301.744,240.35,-12.5258,2.63004,-0.0896595,0.0137491
118,-302.313,241.043,-12.4791,2.55649,-0.07942,0.0146655
119,-302.442,241.174,-11.9623,2.54829,-0.21012,0.0242347
120,-302.574,241.11,-12.5084,2.58497,-0.0612808,0.00772171
121,-303.31,241.096,-12.8115,2.69994,0.0305922,-0.00714458
122,-303.246,241.923,-12.5814,2.49037,-0.0277875,0.00220538
123,-303.276,241.142,-12.0833,2.68313,-0.164917,0.0311958
124,-302.977,241.653,-12.5493,2.51855,-0.0371018,-0.000735051
125,-303.248,241.477,-12.5669,2.60498,-0.03254,-0.00281165
126,-303.056,241.493,-12.6651,2.57621,-0.0108171,-0.00917333
127,-303.016,241.799,-12.9106,2.50038,0.0524591,-0.0251469
128,-303.974,241.803,-12.7587,2.64871,0.00987993,-0.0123939
129,-303.472,242.447,-12.1336,2.426,-0.153699,0.0323278
130,-303.623,243.008,-12.2413,2.3341,-0.113407,0.0179108
131,-304.107,242.47,-12.0441,2.53935,-0.162186,0.03027
132,-303.524,243.349,-12.4417,2.25557,-0.0545678,0.00315558
133,-304.437,243.166,-12.0947,2.46301,-0.135291,0.0272247
134,-304.346,243.299,-12.4125,2.42133,-0.049957,-0.00889958
135,-305.338,243.28,-12.4166,2.59768,-0.0338808,-0.0303642
136,-305.526,243.324,-11.8939,2.61512,-0.172371,0.0536263
137,-305.537,243.394,-12.4685,2.6044,-0.0194366,-0.0618653
138,-305.675,243.168,-12.0109,2.68086,-0.14403,0.0353472
139,-305.856,242.968,-11.9075,2.75299,-0.168675,0.0552608
140,-306.213,243.553,-12.873,2.64744,0.100863,-0.21324
141,-306.244,243.68,-12.6713,2.62814,0.0411695,-0.151467
142,-306.605,243.981,-13.5215,2.60158,0.25826,-0.399488
143,-306.805,243.525,-13.241,2.74414,0.18174,-0.268082
144,-306.994,243.66,-13.2001,2.73326,0.162349,-0.246561
145,-306.846,243.55,-13.2429,2.76125,0.180221,-0.263394
146,-307.156,244.389,-13.2663,2.57759,0.158497,-0.283202
147,-307.415,244.143,-13.5826,2.67843,0.234641,-0.346505
148,-307.795,243.888,-13.1457,2.78251,0.109792,-0.132541
149,-308.199,244.068,-12.4842,2.77207,-0.0757753,0.127543
150,-308.317,243.837,-12.1419,2.84915,-0.153311,0.249472
151,-308.878,243.268,-12.4109,3.03858,-0.0749723,0.128467
152,-308.405,243.268,-12.9326,3.03888,0.0571525,-0.0762249
153,-308.559,243.299,-13.6896,3.04269,0.250087,-0.367636
154,-308.393,243.604,-13.5529,2.97583,0.212695,-0.312327
155,-309.038,243.833,-13.4664,2.92323,0.157325,-0.234501
156,-309.724,243.814,-13.0187,2.93656,0.0103428,0.00583667
157,-310.154,243.79,-12.7209,2.95521,-0.0748182,0.143148
158,-309.729,243.871,-12.4935,2.96103,-0.11916,0.21344
159,-310.217,244.143,-12.4182,2.89562,-0.130341,0.219319
160,-310.445,244.324,-12.3834,2.86603,-0.13256,0.217771
161,-310.379,244.323,-12.7529,2.8938,-0.0392667,0.0527441
162,-310.308,244.582,-12.7526,2.84872,-0.0448787,0.074597
163,-311.137,243.633,-13.2342,3.12348,0.0883753,-0.191071
164,-311.102,243.366,-13.2015,-3.07286,0.076189,-0.156024
165,-310.931,243.633,-12.5037,-3.12042,-0.0998113,0.133666
166,-311.31,243.624,-12.6139,-3.12522,-0.0676705,0.073831
167,-311.652,243.617,-13.0596,-3.12534,0.0485733,-0.112798
168,-311.363,243.456,-13.1002,-3.0357,0.0590195,-0.115066
169,-311.603,243.079,-13.193,-2.94253,0.0792414,-0.130089
170,-311.77,243.106,-12.6539,-2.94977,-0.0598597,0.07799
171,-312.294,242.645,-12.7985,-2.87708,-0.0242765,0.0243516
172,-312.671,243.38,-12.2527,-3.08035,-0.161595,0.207722
173,-313.141,243.609,-12.3168,3.12443,-0.135159,0.166805
174,-313.202,243.587,-12.4248,-3.12486,-0.105195,0.120311
175,-313.125,243.328,-12.6398,-3.01837,-0.0523927,0.0400859
176,-313.5,243.26,-12.9487,-3.01521,0.0289937,-0.0662627
177,-313.584,242.796,-12.3898,-2.88681,-0.114526,0.118957
178,-314.66,243.362,-12.5339,-3.13428,-0.0632588,0.0584188
179,-314.767,242.354,-12.1249,-2.86248,-0.1627,0.16254
180,-315.063,242.111,-12.3394,-2.82017,-0.10145,0.0748106
181,-315.052,241.482,-12.8445,-2.64746,0.0256511,-0.0922304
182,-315.374,241.812,-12.6604,-2.75335,-0.0219979,-0.0282628
183,-315.161,241.869,-12.5348,-2.70645,-0.0542086,0.0123627
184,-315.459,240.95,-12.4863,-2.53642,-0.0595011,0.0196974
185,-315.766,240.624,-12.8712,-2.50739,0.0442565,-0.0914767
186,-316.32,240.739,-12.3574,-2.61646,-0.087369,0.0445607
187,-316.342,239.911,-12.6407,-2.43622,-0.00768627,-0.0390583
188,-316.452,239.754,-13.2632,-2.41009,0.149247,-0.190888
189,-316.874,239.313,-13.615,-2.40221,0.217713,-0.248852
190,-317.345,239.874,-14.1457,-2.5662,0.3419,-0.371959
191,-317.501,239.753,-13.801,-2.55169,0.242523,-0.278898
192,-317.823,239.374,-13.8095,-2.52183,0.214688,-0.245656
193,-318.453,239.413,-13.2862,-2.61992,0.0683532,-0.163284
194,-318.144,238.815,-13.0004,-2.43195,0.00764338,-0.073791
195,-318.432,238.919,-12.8906,-2.49237,-0.014374,-0.0702883
196,-318.478,238.565,-13.4048,-2.41849,0.110867,-0.148284
197,-319.179,238.779,-13.4345,-2.56724,0.105333,-0.16482
198,-319.088,237.552,-13.4143,-2.31139,0.0804307,-0.110689
199,-319.066,237.596,-13.2381,-2.31008,0.0386405,-0.0847671
200,-319.911,237.115,-12.765,-2.38485,-0.0952266,-0.0141102
201,-319.904,237.517,-13.3328,-2.4306,0.0512995,-0.120677
