ID,x,y,z,yaw,pitch,roll
1,-284.905,226.113,-12.6207,2.44702,0.0137913,0.0491332
2,-285.108,226.311,-12.6029,2.44816,0.0134437,0.0410092
3,-285.355,226.609,-12.6251,2.4481,0.0128995,0.0413232
4,-285.554,226.868,-12.6177,2.44879,0.0123184,0.0350369
5,-285.753,227.034,-12.6305,2.44945,0.011293,0.0339752
6,-285.999,227.21,-12.6193,2.45026,0.0114007,0.0318931
7,-286.22,227.41,-12.6264,2.44951,0.0104309,0.0324516
8,-286.422,227.601,-12.6143,2.45039,0.00984942,0.0326343
9,-286.618,227.767,-12.622,2.45056,0.00815925,0.0339237
10,-286.833,227.929,-12.6115,2.45094,0.00784196,0.0334072
11,-287.045,228.117,-12.5966,2.45134,0.00328986,0.0332506
12,-287.232,228.283,-12.5912,2.45095,0.000219772,0.0352987
13,-287.423,228.429,-12.6107,2.45106,-0.00231504,0.0372201
14,-287.621,228.585,-12.62,2.45012,-0.00206281,0.038428
15,-287.813,228.765,-12.6334,2.45088,-0.00147336,0.0393498
16,-287.978,228.915,-12.6375,2.45078,-0.000401353,0.0395777
17,-288.162,229.063,-12.6459,2.45138,-0.00039741,0.0397826
18,-288.334,229.193,-12.663,2.45152,0.00201618,0.0405928
19,-288.499,229.331,-12.6671,2.45248,0.00422323,0.0402025
20,-288.682,229.484,-12.6754,2.45275,0.00594792,0.0382267
21,-288.827,229.623,-12.6573,2.45322,0.0060504,0.0363873
22,-288.991,229.758,-12.6827,2.45403,0.0060084,0.0360487
23,-289.16,229.896,-12.684,2.45374,0.00633749,0.0381074
24,-289.303,230.015,-12.7051,2.45398,0.00926814,0.0383767
25,-289.455,230.133,-12.7101,2.45454,0.0114755,0.0415317
26,-289.61,230.269,-12.7077,2.45556,0.0130204,0.0429642
27,-289.745,230.394,-12.6929,2.45607,0.0141428,0.0444201
28,-289.905,230.516,-12.6881,2.4552,0.0138073,0.0441298
29,-290.028,230.622,-12.6787,2.45636,0.0125676,0.044645
30,-290.155,230.727,-12.6865,2.45678,0.0106956,0.044827
31,-290.288,230.834,-12.674,2.45716,0.00972263,0.0437386
32,-290.433,230.978,-12.6585,2.45757,0.0070505,0.0416091
33,-290.544,231.105,-12.6718,2.4567,0.0037126,0.0426602
34,-290.682,231.21,-12.6615,2.45644,0.000982576,0.0419396
35,-290.829,231.336,-12.6191,2.45669,-0.00483562,0.0406132
36,-290.951,231.465,-12.6318,2.45559,-0.0119466,0.0407563
37,-291.079,231.568,-12.6697,2.45617,-0.0128018,0.0408573
38,-291.211,231.663,-12.7124,2.45606,-0.00954033,0.0412835
39,-291.339,231.746,-12.7514,2.45714,-0.00264252,0.0423802
40,-291.465,231.852,-12.7269,2.45743,0.00208139,0.0425624
41,-291.572,231.955,-12.7184,2.45722,0.0011822,0.0442486
42,-291.681,232.062,-12.7174,2.45648,-4.40759E-05,0.0465278
43,-291.84,232.182,-12.7392,2.45548,-0.000764911,0.051744
44,-291.964,232.301,-12.7452,2.45481,0.00135737,0.0552228
45,-292.065,232.385,-12.7408,2.45525,0.00293546,0.0546661
46,-292.193,232.478,-12.7487,2.4558,0.00584643,0.0519064
47,-292.295,232.58,-12.7368,2.45648,0.00649715,0.0477664
48,-292.413,232.677,-12.739,2.45699,0.0055617,0.0476483
49,-292.534,232.798,-12.7436,2.4559,0.00433663,0.0480125
50,-292.641,232.904,-12.7556,2.45533,0.00467323,0.0489397
51,-292.761,232.989,-12.7564,2.45587,0.00564199,0.0502326
52,-292.887,233.096,-12.7569,2.45507,0.00579952,0.0507646
53,-293.002,233.206,-12.7637,2.4547,0.00674585,0.0493917
54,-293.047,233.242,-12.7757,2.45512,0.00778427,0.0495173
55,-293.231,233.371,-12.7593,2.45656,0.0104948,0.0491825
56,-293.387,233.554,-12.7324,2.45598,0.00813372,0.0461378
57,-293.521,233.702,-12.735,2.45532,0.00123353,0.0446546
58,-293.648,233.796,-12.7616,2.45551,-0.000482565,0.0434114
59,-293.777,233.878,-12.7625,2.45675,-0.000990636,0.0449177
60,-293.906,233.978,-12.7621,2.45772,-0.00186003,0.0469098
61,-294.039,234.102,-12.7541,2.45758,-0.00400773,0.0482609
62,-294.157,234.242,-12.7777,2.45627,-0.00537791,0.0496079
63,-294.274,234.349,-12.7742,2.45615,-0.00546939,0.0503022
64,-294.423,234.452,-12.7745,2.45633,-0.00523538,0.0517533
65,-294.556,234.588,-12.7872,2.45524,-0.00512886,0.051972
66,-294.682,234.706,-12.7784,2.45504,-0.00375013,0.0504777
67,-294.826,234.824,-12.7918,2.45565,-0.00411508,0.0487375
68,-294.954,234.936,-12.789,2.45594,-0.00389435,0.0487447
69,-295.083,235.051,-12.7968,2.45543,-0.00401295,0.0480106
70,-295.204,235.154,-12.7991,2.45549,-0.00414056,0.0489003
71,-295.332,235.26,-12.8069,2.45545,-0.00418358,0.0493137
72,-295.476,235.395,-12.7995,2.45481,-0.00461554,0.0495002
73,-295.607,235.52,-12.8048,2.45409,-0.00476116,0.0495303
74,-295.739,235.62,-12.7976,2.45409,-0.00494912,0.04971
75,-295.891,235.737,-12.802,2.45488,-0.00523899,0.0496972
76,-296.017,235.849,-12.8053,2.45427,-0.00504145,0.0496859
77,-296.161,235.961,-12.7979,2.45413,-0.00455892,0.0484121
78,-296.299,236.081,-12.7839,2.45357,-0.00483142,0.0461094
79,-296.434,236.21,-12.8083,2.45487,-0.00516544,0.0457916
80,-296.579,236.338,-12.8067,2.45449,-0.00380344,0.0453502
81,-296.727,236.471,-12.816,2.45464,-0.00223358,0.0453575
82,-296.865,236.583,-12.8082,2.45505,-0.00143826,0.0463934
83,-296.991,236.693,-12.8044,2.45486,-0.00140857,0.046786
84,-297.143,236.813,-12.8004,2.45464,-0.00137132,0.0469313
85,-297.297,236.948,-12.8058,2.45448,-0.00102893,0.0465903
86,-297.433,237.081,-12.8086,2.45413,-1.26675E-05,0.046358
87,-297.56,237.193,-12.8084,2.45383,0.000422809,0.0460544
88,-297.697,237.311,-12.7992,2.45426,-0.000919706,0.0455428
89,-297.835,237.428,-12.8028,2.45506,-0.000782571,0.0456993
90,-298.001,237.576,-12.797,2.45511,-0.00122497,0.0454301
91,-298.148,237.72,-12.8034,2.4551,-0.00156752,0.0444703
92,-298.274,237.831,-12.802,2.45581,-0.00201858,0.0442124
93,-298.425,237.953,-12.8123,2.45624,-0.00233988,0.0436421
94,-298.577,238.082,-12.8083,2.45626,-0.00260771,0.0427796
95,-298.72,238.214,-12.8164,2.45585,-0.00358476,0.0418251
96,-298.872,238.346,-12.7954,2.45645,-0.00477068,0.0404315
97,-299.032,238.481,-12.8066,2.4568,-0.00654104,0.039377
98,-299.177,238.614,-12.7995,2.45756,-0.00803481,0.0384082
99,-299.312,238.735,-12.8155,2.4585,-0.00847129,0.0374487
100,-299.457,238.847,-12.8226,2.45838,-0.00727579,0.0364291
101,-299.61,238.977,-12.8307,2.45916,-0.0065533,0.0359196
102,-299.757,239.117,-12.8304,2.45934,-0.0058894,0.0373234
103,-299.911,239.245,-12.8373,2.45982,-0.00516263,0.03916
104,-300.064,239.357,-12.8189,2.46031,-0.00497551,0.0377858
105,-300.22,239.485,-12.8326,2.46079,-0.00565771,0.0365656
106,-300.376,239.632,-12.8306,2.46147,-0.0046781,0.0348257
107,-300.527,239.775,-12.8358,2.46198,-0.00411859,0.0334781
108,-300.67,239.887,-12.8415,2.46275,-0.00367266,0.0327506
109,-300.82,239.998,-12.8377,2.46371,-0.00333104,0.0314021
110,-300.994,240.138,-12.8495,2.464,-0.00357916,0.0309787
111,-301.151,240.298,-12.8381,2.46435,-0.00397052,0.0299407
112,-301.286,240.425,-12.853,2.46419,-0.00372064,0.0295578
113,-301.446,240.549,-12.8473,2.46447,-0.00283532,0.0272465
114,-301.62,240.67,-12.8448,2.46658,-0.00237418,0.0244821
115,-301.786,240.807,-12.8457,2.46879,-0.00493559,0.0236473
116,-301.922,240.933,-12.8358,2.4706,-0.00539088,0.020866
117,-302.108,241.047,-12.8502,2.47341,-0.00577763,0.0190064
118,-302.268,241.181,-12.8406,2.47493,-0.00582152,0.0197621
