ID,x,y,z,yaw,pitch,roll
1,-284.905,226.113,-12.6207,2.44702,0.0137913,0.0491332
2,-285.108,226.311,-12.6029,2.44816,0.0134437,0.0410092
3,-285.362,226.776,-12.6444,2.44826,0.0129046,0.0405506
4,-285.434,227.206,-12.6077,2.44873,0.0123785,0.035971
5,-285.768,226.939,-12.6197,2.44944,0.0112554,0.0326661
6,-286.408,227.132,-12.6162,2.4502,0.0113325,0.0319983
7,-286.236,227.307,-12.6176,2.4501,0.0103168,0.032188
8,-286.189,227.484,-12.6107,2.45052,0.00964528,0.033529
9,-286.607,227.66,-12.6119,2.45067,0.00804364,0.0337242
10,-286.819,227.826,-12.6088,2.45097,0.00764944,0.0337252
11,-287.075,228.273,-12.6026,2.45145,0.00305908,0.0332709
12,-287.225,228.202,-12.5807,2.45078,-9.75954E-05,0.0351721
13,-287.404,228.325,-12.6008,2.45103,-0.00241468,0.0372579
14,-287.657,228.699,-12.6124,2.45011,-0.00223968,0.0386163
15,-287.779,228.677,-12.6298,2.4505,-0.00147167,0.0392683
16,-288.072,228.872,-12.6247,2.45089,-0.000303207,0.0397188
17,-288.243,229.308,-12.6666,2.45135,-0.000172298,0.0398986
18,-288.192,229.549,-12.6469,2.45183,0.00198846,0.0410857
19,-288.482,229.286,-12.6695,2.45202,0.00461481,0.040128
20,-289.049,229.396,-12.6574,2.45277,0.0062146,0.0382005
21,-288.871,229.544,-12.6574,2.45326,0.00613067,0.0367721
22,-288.787,229.663,-12.6675,2.45418,0.0060165,0.0363439
23,-289.124,229.803,-12.688,2.45369,0.00644694,0.0378868
24,-289.295,229.934,-12.7022,2.45396,0.00940327,0.0386789
25,-289.489,230.263,-12.7114,2.45471,0.0120332,0.0419409
26,-289.54,230.56,-12.7159,2.45585,0.0133962,0.0432946
27,-289.562,230.568,-12.7099,2.45594,0.0136768,0.0439975
28,-289.886,230.463,-12.6795,2.45499,0.0136609,0.0446003
29,-290.331,230.685,-12.7126,2.45641,0.0123279,0.0444573
30,-290.362,231.128,-12.6779,2.4572,0.0103087,0.045069
31,-290.332,230.824,-12.6727,2.45698,0.00923585,0.0436875
32,-290.421,230.913,-12.652,2.45766,0.00702054,0.0416221
33,-290.547,231.145,-12.6875,2.45677,0.0032899,0.0425631
34,-290.643,231.404,-12.6433,2.45662,0.000376629,0.0422111
35,-290.816,231.29,-12.606,2.45652,-0.00502408,0.040148
36,-291.123,231.411,-12.6451,2.45555,-0.0123739,0.0406429
37,-291.102,231.499,-12.6699,2.45611,-0.0135262,0.0408891
38,-291.134,231.65,-12.7047,2.45629,-0.00971931,0.0414203
39,-291.327,231.689,-12.7634,2.4571,-0.00210615,0.0423347
40,-291.448,231.793,-12.738,2.45757,0.00260652,0.042707
41,-291.59,232.044,-12.735,2.45731,0.00172392,0.0443363
42,-291.632,232.277,-12.7295,2.45673,-0.000261918,0.0470358
43,-291.81,232.154,-12.7311,2.45517,-0.000530927,0.051004
44,-292.158,232.252,-12.749,2.45464,0.00140722,0.0560616
45,-292.102,232.323,-12.7398,2.45538,0.00297138,0.0548119
46,-292.118,232.433,-12.7525,2.45594,0.00575283,0.0523558
47,-292.293,232.533,-12.7341,2.45663,0.00687406,0.0470538
48,-292.49,232.81,-12.7575,2.45731,0.00544587,0.0473646
49,-292.511,232.791,-12.7516,2.45663,0.00498272,0.047524
50,-292.646,232.836,-12.7577,2.45511,0.00461205,0.0486434
51,-292.757,232.928,-12.7575,2.456,0.0058246,0.0502542
52,-292.898,233.17,-12.7627,2.45521,0.00592039,0.0510171
53,-292.979,233.155,-12.7606,2.45465,0.00654882,0.0496681
54,-293.106,233.238,-12.7823,2.4557,0.00930185,0.049444
55,-293.295,233.512,-12.7455,2.45682,0.0104925,0.0492028
56,-293.341,233.787,-12.7711,2.45639,0.00879077,0.0462152
57,-293.526,233.629,-12.7202,2.45527,0.000832558,0.0442778
58,-293.884,233.722,-12.8103,2.4554,-0.00104379,0.0432547
59,-293.82,233.816,-12.7792,2.45711,-0.00122194,0.0449762
60,-293.815,233.946,-12.794,2.45792,-0.00193247,0.0472846
61,-294.026,234.049,-12.7536,2.45762,-0.00435694,0.048426
62,-294.24,234.379,-12.821,2.45629,-0.00556989,0.0499646
63,-294.265,234.351,-12.806,2.45608,-0.0057474,0.0502069
64,-294.45,234.39,-12.7867,2.45622,-0.00522306,0.0516876
65,-294.547,234.521,-12.7855,2.45522,-0.00524115,0.0521064
66,-294.665,234.779,-12.7856,2.45484,-0.00351305,0.0503814
67,-294.803,234.761,-12.7838,2.45546,-0.00394661,0.0488034
68,-295.032,234.924,-12.7927,2.45585,-0.00378281,0.0485247
69,-295.076,234.98,-12.7926,2.45553,-0.00394155,0.048102
70,-295.206,235.167,-12.8029,2.45544,-0.00413926,0.0488354
71,-295.33,235.212,-12.8055,2.45543,-0.00424606,0.0493576
72,-295.536,235.449,-12.8008,2.4548,-0.00466069,0.0495459
73,-295.598,235.457,-12.8003,2.45412,-0.00492604,0.0494759
74,-295.779,235.599,-12.7979,2.45402,-0.00496203,0.0497014
75,-295.819,235.629,-12.7956,2.45432,-0.0049794,0.0496595
76,-296.009,235.819,-12.8067,2.45432,-0.00499461,0.0497072
77,-296.141,235.891,-12.7969,2.45396,-0.00456281,0.0485347
78,-296.343,236.152,-12.7922,2.4536,-0.00476842,0.0458061
79,-296.423,236.463,-12.8189,2.45515,-0.00536521,0.045562
80,-296.547,236.334,-12.8139,2.45448,-0.00410035,0.0451155
81,-296.695,236.389,-12.8108,2.45451,-0.00241707,0.0451719
82,-296.933,236.638,-12.815,2.45521,-0.00117223,0.0464891
83,-297.022,236.968,-12.8095,2.45509,-0.0013856,0.0470474
84,-297.018,237.04,-12.8145,2.45498,-0.00136178,0.0470761
85,-297.267,236.904,-12.8031,2.45428,-0.00108158,0.0463842
86,-297.696,237.068,-12.8234,2.4541,0.000218755,0.0463235
87,-297.609,237.124,-12.8103,2.4539,0.000243476,0.0461797
88,-297.615,237.168,-12.8106,2.45415,-0.000120951,0.0460042
89,-297.816,237.397,-12.7997,2.45532,-0.000893258,0.0458635
90,-297.982,237.502,-12.7938,2.45508,-0.00109816,0.0454826
91,-298.137,237.635,-12.7966,2.45516,-0.00162979,0.0444459
92,-298.308,237.937,-12.8065,2.45602,-0.00191227,0.0441864
93,-298.387,237.915,-12.8063,2.4562,-0.00223267,0.0437441
94,-298.636,238.046,-12.8101,2.4563,-0.00263555,0.0426315
95,-298.71,238.136,-12.8122,2.45583,-0.00353768,0.0418223
96,-298.857,238.366,-12.7971,2.45657,-0.00479972,0.0404065
97,-298.981,238.649,-12.8211,2.45699,-0.00663118,0.0394729
98,-299.165,238.562,-12.8008,2.45748,-0.00835476,0.0383284
99,-299.292,238.652,-12.8103,2.45851,-0.00862851,0.0375637
100,-299.486,238.915,-12.8213,2.45864,-0.00728507,0.0363374
101,-299.532,238.917,-12.8256,2.45878,-0.00700502,0.0359946
102,-299.775,239.073,-12.8266,2.45949,-0.00581041,0.0373647
103,-299.899,239.162,-12.8332,2.45972,-0.00518947,0.0391464
104,-300.087,239.416,-12.8181,2.46051,-0.00479393,0.0380072
105,-300.187,239.427,-12.8211,2.46069,-0.00551078,0.0365799
106,-300.428,239.627,-12.8292,2.46159,-0.00446587,0.0345043
107,-300.575,239.995,-12.8381,2.46211,-0.00387096,0.0334151
108,-300.676,239.857,-12.8404,2.46253,-0.00371631,0.0324361
109,-300.811,239.937,-12.8365,2.46364,-0.00331358,0.0312952
110,-301.039,240.215,-12.8541,2.46423,-0.00355707,0.030774
111,-301.117,240.224,-12.8439,2.46423,-0.00394869,0.0300344
112,-301.332,240.396,-12.859,2.46431,-0.00375783,0.0294059
113,-301.44,240.475,-12.8514,2.46439,-0.00294515,0.0274532
114,-301.642,240.714,-12.8507,2.46699,-0.00226026,0.0241297
115,-301.773,241.025,-12.8491,2.46919,-0.00493218,0.0232834
116,-301.912,240.903,-12.8411,2.47052,-0.00562966,0.0207358
117,-302.1,240.98,-12.845,2.47362,-0.00584996,0.0187214
118,-302.346,241.279,-12.8422,2.47544,-0.00578582,0.0195325
