ID,x,y,z,yaw,pitch,roll
1,-284.886,226.135,-12.6309,2.4481,0.0128136,0.0487133
2,-285.114,226.334,-12.6035,2.44809,0.0125998,0.0400036
3,-285.337,226.55,-12.5912,2.44793,0.0125544,0.0360598
4,-285.553,226.748,-12.6029,2.44878,0.0119822,0.0335178
5,-285.782,226.948,-12.6031,2.45001,0.0112518,0.0314627
6,-285.99,227.134,-12.6057,2.45026,0.0111678,0.031008
7,-286.213,227.324,-12.6059,2.44971,0.0106593,0.0321591
8,-286.423,227.507,-12.6052,2.44999,0.00929848,0.0324453
9,-286.627,227.686,-12.6101,2.45091,0.00793496,0.0331958
10,-286.832,227.868,-12.6009,2.45086,0.0069865,0.0322744
11,-287.027,228.043,-12.5829,2.45087,0.00295581,0.0316086
12,-287.23,228.219,-12.5761,2.45088,-0.00170162,0.033998
13,-287.415,228.383,-12.5917,2.45027,-0.00324582,0.0354402
14,-287.616,228.54,-12.603,2.45021,-0.00290131,0.037791
15,-287.794,228.697,-12.6127,2.4505,-0.0014073,0.037575
16,-287.967,228.848,-12.6203,2.45056,-0.000217777,0.0386139
17,-288.147,228.995,-12.6321,2.4509,-6.8242E-05,0.0395024
18,-288.322,229.149,-12.6468,2.45143,0.00229941,0.039449
19,-288.489,229.289,-12.6604,2.45223,0.00499579,0.0395546
20,-288.656,229.436,-12.6647,2.45249,0.00658047,0.0374669
21,-288.818,229.577,-12.6563,2.45295,0.00631867,0.0352724
22,-288.979,229.716,-12.6625,2.45365,0.00599847,0.034899
23,-289.141,229.858,-12.6735,2.45359,0.00680893,0.0368255
24,-289.28,229.984,-12.689,2.45339,0.00992818,0.0377438
25,-289.428,230.103,-12.6876,2.45395,0.012382,0.0401325
26,-289.587,230.237,-12.6944,2.45514,0.0142943,0.0426095
27,-289.721,230.36,-12.6908,2.45513,0.0146158,0.044306
28,-289.871,230.479,-12.6895,2.45438,0.0138414,0.0443454
29,-290.016,230.608,-12.679,2.45535,0.0118931,0.0436486
30,-290.152,230.734,-12.6859,2.4566,0.00975289,0.0430326
31,-290.281,230.837,-12.6817,2.4569,0.00868236,0.0427524
32,-290.415,230.959,-12.6746,2.45736,0.0055716,0.040442
33,-290.538,231.079,-12.6717,2.45622,0.00197151,0.0407397
34,-290.674,231.186,-12.6699,2.45584,-0.000300151,0.0406954
35,-290.804,231.295,-12.6405,2.45628,-0.00636945,0.0402712
36,-290.928,231.411,-12.6369,2.45514,-0.0139088,0.0406377
37,-291.059,231.522,-12.6734,2.45531,-0.0147577,0.0403455
38,-291.18,231.621,-12.7163,2.45539,-0.00878921,0.0405075
39,-291.304,231.717,-12.7482,2.45618,-0.000797697,0.0415213
40,-291.425,231.828,-12.7366,2.45661,0.00408161,0.0421036
41,-291.543,231.934,-12.7213,2.45627,0.0022931,0.043688
42,-291.666,232.048,-12.7251,2.45533,-0.000618361,0.0471793
43,-291.795,232.152,-12.7338,2.45412,-0.000616194,0.0519665
44,-291.931,232.267,-12.7417,2.45377,0.00121295,0.0554675
45,-292.041,232.367,-12.7402,2.45435,0.00380664,0.0550055
46,-292.162,232.468,-12.7369,2.45514,0.00638756,0.0509889
47,-292.276,232.575,-12.7364,2.45552,0.00732098,0.0469504
48,-292.388,232.677,-12.7382,2.45637,0.00564599,0.0468485
49,-292.501,232.77,-12.7372,2.45488,0.00438541,0.047661
50,-292.624,232.875,-12.747,2.45442,0.0054185,0.048855
51,-292.748,232.98,-12.7464,2.45476,0.00598886,0.0505279
52,-292.871,233.081,-12.7498,2.45401,0.00595029,0.0508689
53,-292.987,233.187,-12.7517,2.45378,0.00709984,0.0488959
54,-293.114,233.299,-12.7676,2.45517,0.00963656,0.0488361
55,-293.238,233.403,-12.7512,2.45604,0.0111108,0.0487093
56,-293.361,233.522,-12.7289,2.45542,0.00788587,0.0458206
57,-293.493,233.641,-12.7253,2.45418,0.000565013,0.0438016
58,-293.627,233.758,-12.7549,2.45481,-0.00173672,0.0424367
59,-293.755,233.869,-12.7597,2.45669,-0.00158048,0.0442466
60,-293.892,233.98,-12.7518,2.45754,-0.00249708,0.0469688
61,-294.016,234.096,-12.7438,2.45738,-0.00444014,0.0478314
62,-294.152,234.212,-12.7575,2.45617,-0.00567291,0.0497379
63,-294.291,234.328,-12.7641,2.45496,-0.00560854,0.051047
64,-294.416,234.435,-12.7712,2.45566,-0.00528821,0.0519013
65,-294.546,234.553,-12.7762,2.45462,-0.00478195,0.0521447
66,-294.671,234.665,-12.7804,2.45397,-0.00355479,0.0501946
67,-294.817,234.797,-12.7815,2.45509,-0.00405207,0.0485121
68,-294.93,234.896,-12.7838,2.45518,-0.00377857,0.0482206
69,-295.076,235.021,-12.7835,2.4548,-0.00418752,0.0478529
70,-295.207,235.136,-12.7869,2.45508,-0.00425382,0.0482426
71,-295.339,235.252,-12.7893,2.45533,-0.00383863,0.04903
72,-295.472,235.371,-12.792,2.45457,-0.00442025,0.0489547
73,-295.601,235.485,-12.7916,2.45366,-0.00492068,0.0496167
