ID,x,y,z,yaw,pitch,roll
1,-284.879,226.146,-12.6293,2.44812,0.0126945,0.0458366
2,-285.108,226.33,-12.6003,2.44826,0.0128017,0.0396187
3,-285.335,226.537,-12.5928,2.44826,0.0124817,0.0351632
4,-285.558,226.734,-12.5996,2.44874,0.0119145,0.0334373
5,-285.773,226.928,-12.6027,2.44988,0.0111433,0.0312068
6,-285.989,227.121,-12.6122,2.45025,0.0108136,0.0313726
7,-286.207,227.311,-12.6065,2.44949,0.00998061,0.031972
8,-286.415,227.487,-12.6058,2.44993,0.00941159,0.032572
9,-286.631,227.677,-12.6066,2.45106,0.0077645,0.0326828
10,-286.834,227.858,-12.5977,2.45086,0.00645355,0.0316997
11,-287.021,228.033,-12.5818,2.45096,0.00282351,0.0316196
12,-287.231,228.205,-12.5747,2.45086,-0.00140382,0.0338147
13,-287.422,228.374,-12.587,2.45058,-0.00356618,0.0351818
14,-287.617,228.533,-12.6072,2.45043,-0.00276363,0.0375775
15,-287.789,228.685,-12.616,2.45051,-0.00175764,0.037587
16,-287.971,228.84,-12.6241,2.45061,-0.000315295,0.0386783
17,-288.143,228.987,-12.628,2.4509,-0.000314101,0.0392889
18,-288.327,229.142,-12.6439,2.45169,0.002408,0.039837
19,-288.489,229.281,-12.6578,2.45248,0.00517821,0.0388924
20,-288.653,229.423,-12.6643,2.4527,0.00654261,0.0375349
21,-288.812,229.568,-12.6594,2.453,0.00622298,0.0352459
22,-288.978,229.706,-12.6639,2.4538,0.00577573,0.0353427
23,-289.137,229.851,-12.6757,2.45366,0.00685071,0.0373024
24,-289.29,229.979,-12.6865,2.45332,0.0101711,0.0381365
25,-289.438,230.104,-12.6947,2.45372,0.0126313,0.0403049
26,-289.581,230.226,-12.6967,2.45504,0.0142773,0.0426347
27,-289.716,230.348,-12.6898,2.4549,0.0146674,0.0445241
28,-289.875,230.48,-12.6827,2.45429,0.0140361,0.0444715
29,-290.009,230.595,-12.677,2.45528,0.0118947,0.0436738
30,-290.145,230.719,-12.6843,2.45647,0.00982473,0.0430198
31,-290.278,230.831,-12.6834,2.45658,0.00866996,0.042824
32,-290.415,230.954,-12.6681,2.45715,0.0055917,0.0400055
33,-290.54,231.068,-12.6728,2.45636,0.0016705,0.0408497
