ID,x,y,z,yaw,pitch,roll
1,-284.914,226.119,-12.672,2.44799,0.0123654,0.0545232
2,-285.045,226.274,-12.6705,2.44816,0.0127413,0.047462
3,-285.281,226.458,-12.5934,2.44816,0.01267,0.0427319
4,-285.494,226.661,-12.6513,2.44837,0.012419,0.0392633
5,-285.735,226.883,-12.6723,2.44882,0.0118752,0.0367
6,-285.923,227.093,-12.6492,2.44948,0.0115133,0.034846
7,-286.079,227.252,-12.6243,2.44951,0.0111078,0.034022
8,-286.35,227.43,-12.5903,2.44975,0.0105147,0.0338625
9,-286.51,227.575,-12.6103,2.45025,0.00945431,0.0337727
10,-286.734,227.803,-12.6098,2.45049,0.00835871,0.033789
11,-286.975,227.962,-12.6116,2.45067,0.00627029,0.0334143
12,-287.171,228.152,-12.616,2.45072,0.00338399,0.0339008
13,-287.331,228.328,-12.619,2.45064,0.000758395,0.0350124
14,-287.594,228.454,-12.5956,2.45047,-0.000767162,0.0366026
15,-287.801,228.619,-12.6405,2.45056,-0.00120092,0.037778
16,-287.966,228.767,-12.6,2.45064,-0.000963135,0.0385227
17,-288.137,228.937,-12.6175,2.45085,-0.000752412,0.0390973
18,-288.239,229.091,-12.6218,2.45103,0.000301779,0.0396611
19,-288.443,229.227,-12.6667,2.45168,0.00205598,0.0399592
20,-288.562,229.368,-12.6589,2.45214,0.00379708,0.0392522
21,-288.721,229.471,-12.6738,2.45253,0.0048203,0.0379026
22,-288.927,229.675,-12.6989,2.45307,0.00530299,0.0369165
23,-289.111,229.783,-12.7015,2.45334,0.00575533,0.0369727
24,-289.271,229.929,-12.678,2.45346,0.00748051,0.0377028
25,-289.341,230.057,-12.7046,2.45382,0.00938022,0.0388991
26,-289.538,230.202,-12.6764,2.45442,0.0113256,0.0405756
27,-289.672,230.311,-12.6655,2.455,0.012732,0.0423137
28,-289.866,230.417,-12.6766,2.45499,0.0134011,0.042977
29,-289.95,230.588,-12.7013,2.45527,0.0130187,0.043149
30,-290.099,230.661,-12.6948,2.45586,0.0120189,0.0435
31,-290.232,230.782,-12.7008,2.4563,0.0108289,0.0432483
32,-290.345,230.937,-12.6469,2.45667,0.00917247,0.0422644
33,-290.468,231.067,-12.6108,2.45664,0.00670088,0.0419763
34,-290.646,231.178,-12.6447,2.45651,0.00424513,0.0416373
35,-290.749,231.237,-12.6174,2.4564,0.000240577,0.0409314
36,-290.864,231.368,-12.6091,2.45601,-0.0050653,0.0408203
37,-291.014,231.487,-12.7219,2.45585,-0.00871761,0.040655
38,-291.149,231.563,-12.7293,2.45583,-0.00912177,0.0407841
39,-291.298,231.702,-12.7518,2.45584,-0.00587568,0.0414424
40,-291.374,231.811,-12.7602,2.45612,-0.00193029,0.0417957
41,-291.493,231.903,-12.716,2.45623,-0.000448019,0.0423606
42,-291.63,232.003,-12.7127,2.4558,-0.000331914,0.0442863
43,-291.752,232.116,-12.7487,2.455,-0.000351105,0.0478606
44,-291.912,232.273,-12.7426,2.45449,0.000158546,0.0512211
45,-292.037,232.349,-12.7823,2.45448,0.00153871,0.0532135
46,-292.14,232.47,-12.74,2.45467,0.00310887,0.0528061
47,-292.247,232.545,-12.7622,2.45507,0.00474014,0.0506684
48,-292.34,232.674,-12.7414,2.45548,0.00513705,0.049051
49,-292.503,232.743,-12.7551,2.45544,0.00491535,0.0489274
50,-292.575,232.855,-12.769,2.45487,0.00496816,0.0493397
51,-292.71,232.95,-12.7794,2.4549,0.00536284,0.0499925
52,-292.854,233.066,-12.6949,2.45469,0.00534812,0.0505773
53,-292.949,233.132,-12.7149,2.45426,0.00619671,0.0503327
54,-293.051,233.317,-12.8058,2.45445,0.00783538,0.050187
55,-293.222,233.368,-12.771,2.45552,0.00886417,0.0499299
56,-293.368,233.496,-12.719,2.45542,0.00822025,0.0485072
57,-293.504,233.648,-12.7329,2.45486,0.00530857,0.0467436
58,-293.601,233.738,-12.769,2.45473,0.00262962,0.0451299
59,-293.704,233.83,-12.7461,2.45554,0.000873553,0.0449619
60,-293.88,233.947,-12.7605,2.45644,-0.000410992,0.046045
61,-293.994,234.037,-12.7582,2.4568,-0.00212689,0.0471054
62,-294.134,234.148,-12.8045,2.45649,-0.00359422,0.0485226
63,-294.271,234.28,-12.7979,2.45587,-0.00480763,0.0496211
